"load_datetime","Segment","Mode","Order_Type","Initial_Period","Institution","Interest_rate_am","Interest_rate_aa"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","16/02/2023 a 24/02/2023","CAIXA ECONOMICA FEDERAL","11.19","256.96"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","16/02/2023 a 24/02/2023","BCO DO BRASIL S.A.","15.2","446.13"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","16/02/2023 a 24/02/2023","BCO SANTANDER (BRASIL) S.A.","14.23","393.43"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","16/02/2023 a 24/02/2023","BCO BRADESCO S.A.","14.23","393.58"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","16/02/2023 a 24/02/2023","BANCO BRADESCARD","20.03","794.4"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","16/02/2023 a 24/02/2023","NU FINANCEIRA S.A. CFI","13.57","360.39"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","16/02/2023 a 24/02/2023","BANCO INTER","13.42","353.25"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","16/02/2023 a 24/02/2023","BCO XP S.A.","5.2","83.71"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","16/02/2023 a 24/02/2023","BCO C6 S.A.","15.46","461.18"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","16/02/2023 a 24/02/2023","BANCO ORIGINAL","18.37","656.99"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","16/02/2023 a 24/02/2023","CAIXA ECONOMICA FEDERAL","2.43","33.32"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","16/02/2023 a 24/02/2023","BCO DO BRASIL S.A.","4.2","63.74"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","16/02/2023 a 24/02/2023","BCO SANTANDER (BRASIL) S.A.","5.09","81.47"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","16/02/2023 a 24/02/2023","ITAÚ UNIBANCO S.A.","4.37","67.04"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","16/02/2023 a 24/02/2023","BCO BRADESCO S.A.","7.25","131.53"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","16/02/2023 a 24/02/2023","NU FINANCEIRA S.A. CFI","5.91","99.22"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","16/02/2023 a 24/02/2023","BCO C6 S.A.","2.84","40.02"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","16/02/2023 a 24/02/2023","BANCO PAN","2.55","35.3"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","15/02/2023 a 23/02/2023","CAIXA ECONOMICA FEDERAL","11.29","260.96"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","15/02/2023 a 23/02/2023","BCO DO BRASIL S.A.","15.22","447.61"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","15/02/2023 a 23/02/2023","BCO SANTANDER (BRASIL) S.A.","14.25","394.53"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","15/02/2023 a 23/02/2023","BCO BRADESCO S.A.","14.51","408.38"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","15/02/2023 a 23/02/2023","BANCO BRADESCARD","20.03","794.55"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","15/02/2023 a 23/02/2023","NU FINANCEIRA S.A. CFI","13.36","350.17"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","15/02/2023 a 23/02/2023","BANCO INTER","13.19","342.45"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","15/02/2023 a 23/02/2023","BCO XP S.A.","5.16","82.91"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","15/02/2023 a 23/02/2023","BCO C6 S.A.","15.48","462.61"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","15/02/2023 a 23/02/2023","BANCO ORIGINAL","18.73","684.86"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","15/02/2023 a 23/02/2023","CAIXA ECONOMICA FEDERAL","2.45","33.63"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","15/02/2023 a 23/02/2023","BCO DO BRASIL S.A.","4.21","64.07"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","15/02/2023 a 23/02/2023","BCO SANTANDER (BRASIL) S.A.","4.98","79.07"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","15/02/2023 a 23/02/2023","ITAÚ UNIBANCO S.A.","4.39","67.42"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","15/02/2023 a 23/02/2023","BCO BRADESCO S.A.","7.37","134.78"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","15/02/2023 a 23/02/2023","NU FINANCEIRA S.A. CFI","5.87","98.37"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","15/02/2023 a 23/02/2023","BCO C6 S.A.","3.26","46.95"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","15/02/2023 a 23/02/2023","BANCO PAN","2.56","35.39"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","14/02/2023 a 22/02/2023","CAIXA ECONOMICA FEDERAL","11.38","264.59"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","14/02/2023 a 22/02/2023","BCO DO BRASIL S.A.","15.13","442.25"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","14/02/2023 a 22/02/2023","BCO SANTANDER (BRASIL) S.A.","14.21","392.75"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","14/02/2023 a 22/02/2023","BCO BRADESCO S.A.","14.48","406.96"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","14/02/2023 a 22/02/2023","BANCO BRADESCARD","19.75","769.93"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","14/02/2023 a 22/02/2023","NU FINANCEIRA S.A. CFI","13.26","345.72"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","14/02/2023 a 22/02/2023","BANCO INTER","13.85","374.01"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","14/02/2023 a 22/02/2023","BCO XP S.A.","5.16","82.91"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","14/02/2023 a 22/02/2023","BCO C6 S.A.","15.48","462.61"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","14/02/2023 a 22/02/2023","BANCO ORIGINAL","18.72","683.9"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","14/02/2023 a 22/02/2023","CAIXA ECONOMICA FEDERAL","2.46","33.8"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","14/02/2023 a 22/02/2023","BCO DO BRASIL S.A.","4.21","64.0"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","14/02/2023 a 22/02/2023","BCO SANTANDER (BRASIL) S.A.","4.94","78.29"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","14/02/2023 a 22/02/2023","ITAÚ UNIBANCO S.A.","4.33","66.3"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","14/02/2023 a 22/02/2023","BCO BRADESCO S.A.","7.41","135.71"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","14/02/2023 a 22/02/2023","NU FINANCEIRA S.A. CFI","5.85","97.89"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","14/02/2023 a 22/02/2023","BCO C6 S.A.","3.21","46.18"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","14/02/2023 a 22/02/2023","BANCO PAN","2.62","36.4"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","13/02/2023 a 17/02/2023","CAIXA ECONOMICA FEDERAL","11.39","264.98"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","13/02/2023 a 17/02/2023","BCO DO BRASIL S.A.","14.89","428.71"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","13/02/2023 a 17/02/2023","BCO SANTANDER (BRASIL) S.A.","14.1","386.93"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","13/02/2023 a 17/02/2023","BCO BRADESCO S.A.","14.68","417.59"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","13/02/2023 a 17/02/2023","BANCO BRADESCARD","19.35","735.67"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","13/02/2023 a 17/02/2023","NU FINANCEIRA S.A. CFI","13.24","344.77"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","13/02/2023 a 17/02/2023","BANCO INTER","13.86","374.88"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","13/02/2023 a 17/02/2023","BCO XP S.A.","5.13","82.25"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","13/02/2023 a 17/02/2023","BCO C6 S.A.","15.5","463.69"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","13/02/2023 a 17/02/2023","BANCO ORIGINAL","18.53","668.68"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","13/02/2023 a 17/02/2023","CAIXA ECONOMICA FEDERAL","2.41","33.12"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","13/02/2023 a 17/02/2023","BCO DO BRASIL S.A.","4.22","64.16"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","13/02/2023 a 17/02/2023","BCO SANTANDER (BRASIL) S.A.","4.68","73.2"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","13/02/2023 a 17/02/2023","ITAÚ UNIBANCO S.A.","4.16","63.14"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","13/02/2023 a 17/02/2023","BCO BRADESCO S.A.","7.16","129.21"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","13/02/2023 a 17/02/2023","NU FINANCEIRA S.A. CFI","5.84","97.51"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","13/02/2023 a 17/02/2023","BCO C6 S.A.","3.18","45.66"
"2023-03-13 15:45:34.967961","Physical person","Crédito pessoal não-consignado","Prefixed","13/02/2023 a 17/02/2023","BANCO PAN","2.58","35.71"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","10/02/2023 a 16/02/2023","CAIXA ECONOMICA FEDERAL","11.78","280.35"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","10/02/2023 a 16/02/2023","BCO DO BRASIL S.A.","15.33","453.67"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","10/02/2023 a 16/02/2023","BCO SANTANDER (BRASIL) S.A.","13.83","373.01"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","10/02/2023 a 16/02/2023","BCO BRADESCO S.A.","14.26","395.32"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","10/02/2023 a 16/02/2023","BANCO BRADESCARD","19.27","728.52"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","10/02/2023 a 16/02/2023","NU FINANCEIRA S.A. CFI","13.25","344.88"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","10/02/2023 a 16/02/2023","BANCO INTER","13.48","355.96"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","10/02/2023 a 16/02/2023","BCO XP S.A.","5.18","83.4"
"2023-03-13 15:45:34.967961","Physical person","Cartão de crédito - rotativo total","Prefixed","10/02/2023 a 16/02/2023","BCO C6 S.A.","15.52","464.89"
